timestamp,open,high,low,close,volume
2022-04-05,129.8500,131.2300,128.6600,128.8900,3102238
2022-04-04,130.2600,130.4500,128.9300,130.2700,2811100
2022-04-01,129.6600,130.2700,128.0600,130.1500,4012373
2022-03-31,130.7200,131.8800,130.0000,130.0200,4274029
2022-03-30,132.0100,133.0800,131.3900,132.1300,2622860
2022-03-29,132.0400,132.8400,130.4300,131.9400,5791032
2022-03-28,130.8200,131.5000,129.6000,131.4700,2483492
2022-03-25,129.5000,131.4000,129.3100,131.3500,3516923
2022-03-24,128.3300,129.3700,127.8000,129.2500,2971075
2022-03-23,129.0800,129.3200,128.2500,128.3000,2924535
2022-03-22,128.5000,129.3000,127.8500,129.0600,2649026
2022-03-21,129.0000,129.7400,127.4000,128.1000,3379393
2022-03-18,127.3800,128.9300,126.3700,128.7600,7400216
2022-03-17,127.1000,128.2900,126.5300,127.9600,3671903
2022-03-16,126.5000,127.2842,124.7100,127.0400,4292845
2022-03-15,124.0000,125.9398,123.2200,125.6400,4021228
2022-03-14,124.4500,125.1600,122.6850,123.9400,3289440
2022-03-11,125.0000,126.7700,123.9100,123.9600,4119630
2022-03-10,125.7500,126.0300,123.1250,124.3500,5326835
2022-03-09,127.4100,128.1000,125.9100,126.2200,4403499
2022-03-08,126.6200,128.3450,124.8200,125.6800,4887565
2022-03-07,126.4700,127.9050,125.6200,126.0700,5047358
2022-03-04,124.4000,127.3500,124.2103,126.6200,4402911
2022-03-03,124.9600,126.6650,124.2351,125.9300,5206649
2022-03-02,122.5900,124.6400,121.8000,123.8600,4891435
2022-03-01,122.6700,123.3900,120.7000,121.3500,4873331
2022-02-28,122.2100,123.3851,121.0388,122.5100,6757332
2022-02-25,122.0500,124.2625,121.4500,124.1800,4460904
2022-02-24,120.0000,122.1000,118.8100,121.9700,6563202
2022-02-23,124.3800,124.7000,121.8700,122.0700,4086367
2022-02-22,124.2000,125.0000,122.6800,123.9200,5306688
2022-02-18,124.9400,125.4400,123.6100,124.3500,4609212
2022-02-17,128.0500,128.5000,124.8500,124.9700,6796997
2022-02-16,129.4500,130.4400,128.2600,129.1800,4875612
2022-02-15,130.6400,131.6800,129.6100,129.9400,4395714
2022-02-14,132.5900,132.6500,129.0700,130.1500,5345289
2022-02-11,133.9000,134.7099,132.3800,132.6900,4176155
